series_id,date,value
PAYEMS,1939-01-01,29923
PAYEMS,1939-02-01,30100
PAYEMS,1939-03-01,30280
PAYEMS,1939-04-01,30094
PAYEMS,1939-05-01,30299
PAYEMS,1939-06-01,30502
PAYEMS,1939-07-01,30419
PAYEMS,1939-08-01,30663
PAYEMS,1939-09-01,31031
PAYEMS,1939-10-01,31411
PAYEMS,1939-11-01,31470
PAYEMS,1939-12-01,31542
PAYEMS,1940-01-01,31603
PAYEMS,1940-02-01,31715
PAYEMS,1940-03-01,31825
PAYEMS,1940-04-01,31701
PAYEMS,1940-05-01,31879
PAYEMS,1940-06-01,31977
PAYEMS,1940-07-01,31942
PAYEMS,1940-08-01,32352
PAYEMS,1940-09-01,32810
PAYEMS,1940-10-01,33267
PAYEMS,1940-11-01,33669
PAYEMS,1940-12-01,34174
PAYEMS,1941-01-01,34481
PAYEMS,1941-02-01,34843
PAYEMS,1941-03-01,35092
PAYEMS,1941-04-01,35468
PAYEMS,1941-05-01,36182
PAYEMS,1941-06-01,36650
PAYEMS,1941-07-01,37137
PAYEMS,1941-08-01,37544
PAYEMS,1941-09-01,37835
PAYEMS,1941-10-01,37949
PAYEMS,1941-11-01,38024
PAYEMS,1941-12-01,38104
PAYEMS,1942-01-01,38347
PAYEMS,1942-02-01,38512
PAYEMS,1942-03-01,38935
PAYEMS,1942-04-01,39352
PAYEMS,1942-05-01,39771
PAYEMS,1942-06-01,40029
PAYEMS,1942-07-01,40472
PAYEMS,1942-08-01,40988
PAYEMS,1942-09-01,41259
PAYEMS,1942-10-01,41515
PAYEMS,1942-11-01,41674
PAYEMS,1942-12-01,41915
PAYEMS,1943-01-01,42172
PAYEMS,1943-02-01,42393
PAYEMS,1943-03-01,42552
PAYEMS,1943-04-01,42647
PAYEMS,1943-05-01,42596
PAYEMS,1943-06-01,42781
PAYEMS,1943-07-01,42700
PAYEMS,1943-08-01,42546
PAYEMS,1943-09-01,42492
PAYEMS,1943-10-01,42675
PAYEMS,1943-11-01,42821
PAYEMS,1943-12-01,42746
PAYEMS,1944-01-01,42654
PAYEMS,1944-02-01,42538
PAYEMS,1944-03-01,42294
PAYEMS,1944-04-01,42063
PAYEMS,1944-05-01,41985
PAYEMS,1944-06-01,41947
PAYEMS,1944-07-01,41904
PAYEMS,1944-08-01,41850
