symbol,name,category,date,adj_close,source
SPY,S&P 500 ETF,Broad market,1995-01-01,27.272024,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-02-01,28.384981,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-03-01,29.018360,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-04-01,30.039703,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-05-01,31.231453,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-06-01,31.677233,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-07-01,32.888165,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-08-01,33.034550,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-09-01,34.251621,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-10-01,34.333241,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-11-01,35.860382,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1995-12-01,36.200787,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-01-01,37.720516,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-02-01,37.840832,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-03-01,38.322189,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-04-01,38.910793,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-05-01,39.794079,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-06-01,39.933514,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-07-01,38.341171,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-08-01,39.079582,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-09-01,41.051788,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-10-01,42.597137,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-11-01,45.706917,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1996-12-01,44.400993,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-01-01,47.376060,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-02-01,47.829212,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-03-01,45.544449,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-04-01,48.581001,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-05-01,51.651676,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-06-01,53.566154,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-07-01,58.037109,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-08-01,55.030575,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-09-01,57.466259,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-10-01,56.263725,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-11-01,58.440960,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1997-12-01,59.319511,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-01-01,60.322521,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-02-01,64.502510,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-03-01,67.455383,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-04-01,68.514503,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-05-01,67.091537,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-06-01,69.725952,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-07-01,69.002617,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-08-01,59.260818,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-09-01,62.810280,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-10-01,68.142883,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-11-01,71.937210,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1998-12-01,76.389717,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-01-01,79.343292,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-02-01,76.798859,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-03-01,79.790024,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-04-01,83.020905,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-05-01,81.122581,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-06-01,85.357323,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-07-01,82.959061,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-08-01,82.529427,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-09-01,80.459358,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-10-01,85.856125,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-11-01,87.285744,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,1999-12-01,92.044685,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-01-01,87.676682,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-02-01,86.341721,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-03-01,94.469452,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-04-01,91.383247,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-05-01,89.946495,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-06-01,91.501350,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-07-01,90.276604,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-08-01,96.175369,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-09-01,90.671104,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-10-01,90.473717,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-11-01,83.719612,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2000-12-01,83.027405,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-01-01,86.984711,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-02-01,78.687462,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-03-01,74.078583,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-04-01,80.624344,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-05-01,80.172394,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-06-01,78.040016,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-07-01,77.463951,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-08-01,72.867851,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-09-01,66.669479,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-10-01,67.791077,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-11-01,73.077209,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2001-12-01,73.237396,Yahoo Finance monthly adjusted close
SPY,S&P 500 ETF,Broad market,2002-01-01,72.769180,Yahoo Finance monthly adjusted close
